Tag,Count
fiction,652
the-kraken-lore,512
fantasy,283
short-story,163
mashups,141
humor,114
kraken-news,107
satire,93
flash-fiction,74
science-fiction,61
horror,60
writing-prompts,54
fiction-writing,48
seedling-challenge,47
dystopia,43
writing,40
cyberpunk,37
short-fiction,35
drabble,34
tkl-infinite,33
supernatural,30
fiction-series,26
storytelling,25
urban-fantasy,25
romance,23
magic,23
microfiction,22
100-story-challenge,20
serial-fiction,19
horror-fiction,19
fairy-tale,18
challenge,18
funny,17
adventure,16
fantasy-fiction,16
dark-fantasy,14
scifi,13
lgbtq,12
generative-art,12
postcardfiction,12
murder-hobos-r-us,12
midjourney-prompts,11
writing-challenge,11
ghosts,11
demons,11
ai,11
ai-prompts,11
news,10
weird-fiction,10
dribble,10
dungeons-and-dragons,10
stormborn,10
lucis-new-hell,10
sci-fi-fantasy,9
creative-writing,9
thriller,9
dark,9
medium-day,9
monsters,8
zombies,8
series,8
suspense,8
image-prompt,7
letters,7
speculative-fiction,7
comedy,7
drama,7
vampires,7
life-lessons,7
female-protagonist,7
dark-fiction,7
pirates,6
love,6
newsletter,6
paranormal,6
halloween,6
tft-trove,6
dragon,6
social-media-marketing,6
medium-variance-authority,6
grandma-news,6
robots,5
dreams,5
quantum,5
mythology,5
aliens,5
reading,5
suddenfiction,5
time-travel,5
creativity,5
throwback,5
writers-life,5
vikings,5
learning,5
kathyk,5
fake-news,5
bullshit,5
philosophy,4
action,4
statistics,4
werewolf,4
death,4
murder,4
lore,4
books,4
prompt,4
relationships,4
children,4
dogs,4
artificial-intelligence,4
breaking-news,4
mystery,3
evil,3
high-fantasy,3
dystopian-fiction,3
humour,3
inspiration,3
sad,3
furious-fiction,3
weird-humor,3
shadow-kingdom,3
apocalypse,3
roleplaying-game,3
nanowrimo,3
ghost-story,3
stories,3
flash-fiction-series,3
social-media,3
space,3
beach,3
magical-realism,3
witch,3
challenge-response,3
generative-ai,3
kraken,3
throwback-thursday,3
medium,3
frank-the-pigeon,3
kings-call,3
smillew-is-love,3
noir,2
faeries,2
christmas,2
thanksgiving,2
distopia,2
secrets,2
murder-mystery,2
space-opera,2
weddings,2
steampunk,2
deal-with-the-devil,2
fear,2
collaboration,2
writing-prompt-response,2
suspense-fiction,2
legend,2
novel,2
short,2
survival,2
poetry,2
quick-reads,2
samurai,2
heros-journey,2
friendship,2
hell,2
taxes,2
science-fantasy,2
superheroes,2
folklore,2
furnace-repair,2
isekai,2
neon-city-ads,2
weapons,2
chicken-challenge,2
family,2
midjourney,2
phoenix,2
art,2
this-or-that,2
chatgpt,2
mythical-creatures,2
dreaming,2
anniversary,2
writing-life,2
listicles,2
quarkle-chronicles,2
dadjokes,2
grandma,2
plague-doctor,2
comics,2
santa-claus,1
narrative,1
transgender,1
celtic-mythology,1
creative,1
kraken-lore,1
climate-change,1
evolution,1
past,1
dream-vs-reality,1
rescue,1
writers-block,1
psychology,1
grief,1
endangered-species,1
government-corruption,1
novelette,1
death-and-dying,1
spiritual-growth,1
bats,1
veterans-day,1
dark-comedy,1
prison,1
escape,1
lost-love,1
saying-goodbye,1
reckoning,1
spy,1
government,1
dating,1
scifi-fantasy,1
greek-mythology,1
cats,1
society,1
culture,1
ai-story,1
family-life-fiction,1
timepieces,1
time-traveller,1
feminine-power,1
daily-life,1
battle,1
naija-stories,1
horror-stories,1
writing-tips,1
boost,1
occult,1
redemption,1
spooky-stories,1
survivor,1
persephone,1
feminism,1
choose-your-own-adventure,1
heartbreak,1
grief-and-loss,1
miracles,1
publication,1
guidelines,1
superstition,1
ship,1
guinea-pigs,1
treachery,1
trauma,1
fantasy-story,1
fictional-short-stories,1
adventure-fantasy,1
magicians,1
revenge,1
darkness,1
techrotichalloween,1
memories,1
fanstasy,1
morality,1
healing-journey,1
free-verse,1
butterflies-in-stomach,1
giant-flies,1
humorous,1
haunted-house,1
skin-walker,1
grandmasmillew,1
superhero-fiction,1
japan,1
pigeons,1
prose-poetry,1
dark-poetry,1
epistolary-fiction,1
serialized-fiction,1
serial-killers,1
boosted,1
motherhood,1
giants,1
self-love,1
unrequited-love,1
intrigue,1
soul,1
choices,1
devil,1
jobs,1
immortality,1
lovestory,1
birthday,1
midjourney-ai,1
crush,1
moon,1
spirituality,1
the-south,1
grim-tales,1
trains,1
strange-stories,1
potato,1
airports,1
spelunking,1
mountains,1
lust,1
marriage,1
timedwriting,1
military,1
lies,1
fairy-tale-retelling,1
homeowners-association,1
goblin,1
magic-realism,1
fantastic-fiction,1
neon-city-spam,1
medieval,1
gender-identity,1
another-world,1
totem,1
short-read,1
castles,1
wizards,1
whistleblower,1
tft-bedtime,1
memories-of-times-gone-by,1
trolls,1
beast,1
pandoras-box,1
fast-food,1
grandparents,1
grandmother,1
sharks,1
oceans,1
cyborg,1
dreadful-visions,1
scary,1
teaser,1
writers-on-writing,1
gambling,1
colors,1
card-game,1
history,1
supervillain,1
crime-brulee,1
design,1
bunny,1
folktales,1
cautionary-tales,1
podcast,1
writers-lift,1
food,1
resistance,1
rebellion,1
phobia,1
bjs-this-or-that,1
lifehacks,1
ya-fiction,1
mc-escher,1
quests,1
dungeon,1
slap,1
rent,1
fantasy-favorites,1
politics,1
hiring,1
motivation,1
plagarism,1
mixed-media,1
safety,1
conflict,1
climate-fiction,1
penguins,1
chekhov,1
we-are-hiring,1
goddess,1
purge,1
new-hope,1
call-center,1
healthcare,1
narnia,1
canada,1
phsychology,1
mischief,1
easter-egg-hunt,1
peter-cottontail,1
interactive,1
unicorns,1
disney,1
fantasy-series,1
april-fools,1
chores,1
ketchup,1
based-on-a-true-story,1
confusion,1
x-files,1
toddlers,1
content-mills,1
cliches,1
gnome,1
bomb,1
gamelit,1
litrpg,1
plagiarism,1
zombie-apocalypse,1
dialogue,1
nothing,1
thank-you,1
st-patricks-day,1
resurrection,1
historical-fiction,1
pi,1
pie,1
titanic,1
earnings,1
fight-club,1
barbie,1
clickbait,1
bots,1
reality-tv,1
management-and-leadership,1
fish,1
worldbuilding,1
angels-and-demons,1
creepy,1
lassie,1
long-live-grandma-smillew,1
marketing,1
march,1
saint-patricks-day,1
lawsuit,1
creation,1
bees,1
anthropomorphism,1
criticism,1
games,1
procrastination,1
imposter-syndrome,1
maps,1
table-of-contents,1
muse,1
squirrels,1
animal-rights,1
coming-of-age,1
heat,1
word-count,1
fraud,1
cannibalism,1
smart-home,1
shifter,1
100-followers,1
100-followers-on-medium,1
this-happened-to-me,1
photography,1
takeoff,1
mafia,1
please-dont-read-this,1
us-canada-border,1
lame-ducks,1
heist,1
university,1
textbooks,1
short-story-writing,1
buddy-holly,1
groundhog-day,1
passwords,1
valentines-day,1
february,1
backwards,1
flat-earth,1
productivity,1
sunday,1
twitter,1
end-of-the-world,1
action-figures,1
lucid-dreaming,1
mindfulness,1
lucid-dream,1
boring,1
time,1
criminal,1
medium-glitches,1
journalism,1
mind-games,1
isolation,1
finland,1
funngames,1
trump,1
erotica,1
interview,1
doppelganger,1
twins,1
updates,1
merger,1
new-beginnings,1
happy-birthday,1
prequel,1
planets,1
new-year-resolution,1